service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Firestore,Cloud Firestore Read Ops Jakarta,1520833.3333333335,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0,
Firestore,Cloud Firestore Entity Writes Jakarta,1520833.3333333335,asia-southeast2,F17B-412E-CB64,0518-9538-C614,1.04938,
Firestore,Cloud Firestore Entity Deletes Jakarta,0.0,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore,Cloud Firestore Storage Jakarta,50.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,9.408,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to North America,4.0,global,E505-1604-58F8,15AE-8E35-C42B,0.32,
Cloud CDN,Network CDN North America Intra-Region Cache Fill,500.0,global,E505-1604-58F8,AAEB-2D19-B7E5,5,
Cloud CDN,Networking Cloud Cdn Cache Lookups,30000000,global,E505-1604-58F8,4762-E550-B5D2,22.5,
Standard Environment (App Engine),Frontend Instances,1.0,us-central1,F17B-412E-CB64,E2EB-F679-D108,0,
Cloud Build,Build time e2-medium,0.0,global,8B5D-EF7D-EB12,DDCF-F323-0860,0,
,SSD disk for build time,0.0,global,8B5D-EF7D-EB12,0121-4BE5-8641,0,
Cloud Storage,Standard Storage US Regional,100.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,1.9,
,,,,,,,
,,,,,Total Price:,40.17738,
,,,,,,,
"Prices are in US dollars, effective date is 2024-11-24T02:47:03.355Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJqTXpZNVkySmhNUzB3WlRSaUxUUXdNMkV0T0RneU9DMWhNRGMyTUdReE1EWTNaaklRQVE9PRokMjc4NjE5QzQtNjM0My00QTMyLUE3MjMtQjQ0MzAxMzIxQTgz,,,,,,
