service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run,CPU Allocation Time (tier 2),37500000,global,152E-C115-5142,085C-A237-027A,1.26,
Cloud Run,Memory Allocation Time (tier 2),76500000,global,152E-C115-5142,600C-3782-6708,0.26775,
Cloud Run,Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
Firestore,Cloud Firestore Read Ops,1520833.3333333335,us-east1,F17B-412E-CB64,FF6D-2156-62C2,0,
Firestore,Cloud Firestore Entity Writes,1520833.3333333335,us-east1,F17B-412E-CB64,4BFF-324E-4B50,1.6425,
Firestore,Cloud Firestore Entity Deletes,0.0,us-east1,F17B-412E-CB64,E2D4-11D8-16C0,0,
Firestore,Cloud Firestore Storage,50.0,us-east1,F17B-412E-CB64,5C80-18C6-21C5,8.82,
Standard Environment (App Engine),Frontend Instances Jakarta,1.0,asia-southeast2,F17B-412E-CB64,2EC9-5583-ECA8,0,
Cloud Storage,Standard Storage Jakarta,100.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,2.3,
,,,,,,,
,,,,,Total Price:,17.49025,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-08T12:03:41.957Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVF3TldabE5tWTFNQzB4WkRFMkxUUXpZamN0T0dVd01TMDFaVGsyTWpVMU5USTRZbVVRQVE9PRokOUU2NjczMDgtMUFFOS00RDQ0LUJDMzYtMzcxRURFNjNDMzk3,,,,,,
